row_id,row_id_matched.x,participant,file,trial_index.x,trial_index.y,trial_index_matched,prop_correct.x,effort.x,reliability_index.x,reliability_index_n,reliability_index_play.x,reliability_effort_difference,row_id_matched.y,prop_correct.y,effort.y,reliability_index.y,reliability_index_play.y,duplicate
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_10_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_10_ch2_calibrated_noise5snr.wav_59,555906c9fdf99b06175ee24c,sim_pd08_habitual_nm_h14_10_ch2_calibrated_noise5snr,57,59,59,0.4,73,8-1,8,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_10_ch2_calibrated_noise5snr.wav_263,0.4,72,8-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_6_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_6_ch2_calibrated_noise5snr.wav_107,555906c9fdf99b06175ee24c,sim_pd08_habitual_nm_h14_6_ch2_calibrated_noise5snr,105,107,107,1,20,2-1,2,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_habitual_nm_h14_6_ch2_calibrated_noise5snr.wav_197,1,27,2-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_loud_kn_h13_2_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_loud_kn_h13_2_ch2_calibrated_noise5snr.wav_119,555906c9fdf99b06175ee24c,sim_pd08_loud_kn_h13_2_ch2_calibrated_noise5snr,117,119,119,1,38,5-1,5,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_loud_kn_h13_2_ch2_calibrated_noise5snr.wav_227,1,35,5-2,2,FALSE
555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_loud_kn_h13_3_ch2_calibrated_noise5snr.wav,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_loud_kn_h13_3_ch2_calibrated_noise5snr.wav_251,555906c9fdf99b06175ee24c,sim_pd08_loud_kn_h13_3_ch2_calibrated_noise5snr,249,251,251,1,27,10-1,10,1,NA,555906c9fdf99b06175ee24c ./audio/mask-recordings/playlist_13_pd08/sim_pd08_loud_kn_h13_3_ch2_calibrated_noise5snr.wav_341,1,33,10-2,2,FALSE
55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_kn_h12_5_ch2_calibrated_noise5snr.wav,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_kn_h12_5_ch2_calibrated_noise5snr.wav_183,55a44167fdf99b12b371c88c,sim_pd15_clear_kn_h12_5_ch2_calibrated_noise5snr,181,183,183,0.4,87,4-1,4,1,NA,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_kn_h12_5_ch2_calibrated_noise5snr.wav_321,1,66,4-2,2,FALSE
55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_kn_h12_9_ch2_calibrated_noise5snr.wav,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_kn_h12_9_ch2_calibrated_noise5snr.wav_243,55a44167fdf99b12b371c88c,sim_pd15_clear_kn_h12_9_ch2_calibrated_noise5snr,241,243,243,0.4,61,9-1,9,1,NA,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_kn_h12_9_ch2_calibrated_noise5snr.wav_393,0.6,63,9-2,2,FALSE
55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_nm_h8_6_ch2_calibrated_noise5snr.wav,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_nm_h8_6_ch2_calibrated_noise5snr.wav_303,55a44167fdf99b12b371c88c,sim_pd15_clear_nm_h8_6_ch2_calibrated_noise5snr,301,303,303,0.8,29,12-1,12,1,NA,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_clear_nm_h8_6_ch2_calibrated_noise5snr.wav_435,0.8,25,12-2,2,FALSE
55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_4_ch2_calibrated_noise5snr.wav,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_4_ch2_calibrated_noise5snr.wav_225,55a44167fdf99b12b371c88c,sim_pd15_habitual_kn_h2_4_ch2_calibrated_noise5snr,223,225,225,0.6,63,3-1,3,1,NA,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_4_ch2_calibrated_noise5snr.wav_405,0.4,28,3-2,2,FALSE
55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_6_ch2_calibrated_noise5snr.wav,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_6_ch2_calibrated_noise5snr.wav_111,55a44167fdf99b12b371c88c,sim_pd15_habitual_kn_h2_6_ch2_calibrated_noise5snr,109,111,111,0.8,63,6-1,6,1,NA,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_6_ch2_calibrated_noise5snr.wav_417,0.8,36,6-2,2,FALSE
55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_7_ch2_calibrated_noise5snr.wav,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_7_ch2_calibrated_noise5snr.wav_81,55a44167fdf99b12b371c88c,sim_pd15_habitual_kn_h2_7_ch2_calibrated_noise5snr,79,81,81,0,71,2-1,2,1,NA,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_7_ch2_calibrated_noise5snr.wav_351,0.2,68,2-2,2,FALSE
55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_8_ch2_calibrated_noise5snr.wav,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_8_ch2_calibrated_noise5snr.wav_93,55a44167fdf99b12b371c88c,sim_pd15_habitual_kn_h2_8_ch2_calibrated_noise5snr,91,93,93,1,62,8-1,8,1,NA,55a44167fdf99b12b371c88c ./audio/mask-recordings/playlist_18_pd15/sim_pd15_habitual_kn_h2_8_ch2_calibrated_noise5snr.wav_423,1,33,8-2,2,FALSE
